pl_name,radius_earth,mass_earth,semi_major_axis_au,period_days,insol_earth,t_eq_K,star_teff_K,star_radius_solar,star_mass_solar,source
2MASS J1416+5006,11.09691,18758.3266,,,,1595.0,,,,ExoplanetEU
2MASS J1422+2215,,18434.14,,,,,,,,ExoplanetEU
2MASS J1422+2215 b,,11441.88,43.0,,,,,,,ExoplanetEU
2MASS J1425-3650,14.79588,6598.1508,,,,1535.0,,,,ExoplanetEU
2MASS J1426+1557 b,,20976.78,2.92,4854.5,,,,0.1287,0.074,ExoplanetEU
2MASS J1439+1929,11.54527,22769.3412,,,,2121.0,,,,ExoplanetEU
2MASS J1448+1031,11.09691,18888.636899999998,,,,1623.0,,,,ExoplanetEU
2MASS J1448-3859,,13348.859999999999,,,,2800.0,,,,ExoplanetEU
2MASS J1450-7841 A,,12713.199999999999,300.0,,,,,,0.04,ExoplanetEU
2MASS J1450-7841 B,,12713.199999999999,300.0,,,,,,0.04,ExoplanetEU
2MASS J1453+14204 b,,11441.88,72.0,,,,,,0.076,ExoplanetEU
2MASS J1503+2525,10.53646,14092.5822,,,,1016.0,,,,ExoplanetEU
2MASS J1506+1321,11.43318,21857.1691,,,,2004.0,,,,ExoplanetEU
2MASS J1507-1627,11.09691,18961.7378,,,,1607.0,,,,ExoplanetEU
2MASS J1515+4847,11.09691,18062.278899999998,,,,1505.0,,,,ExoplanetEU
2MASS J1516+0259,,18434.14,,,,,,,,ExoplanetEU
2MASS J1516+0259 b,,11441.88,2.7,,,,,,,ExoplanetEU
2MASS J1516+3053,,15255.84,,,,,,,,ExoplanetEU
2MASS J1516+3053 b,,11441.88,2.7,,,,,,,ExoplanetEU
2MASS J1526+2043,10.98482,17286.773699999998,,,,1518.0,,,,ExoplanetEU
2MASS J1534-2952,,9566.682999999999,,,,,,,,ExoplanetEU
2MASS J1534-2952 b,,8962.805999999999,2.3,5550.0,,,,,,ExoplanetEU
2MASS J1539-0520,11.209,19908.871199999998,,,,1753.0,,,,ExoplanetEU
2MASS J1546-3325,10.53646,14025.8379,,,,1002.0,,,,ExoplanetEU
2MASS J1547-2423,11.88154,6200.8633,,,,2396.0,,,,ExoplanetEU
2MASS J1547-2423 b,11.88154,4929.543299999999,7.0,36500.0,,2396.0,,,,ExoplanetEU
2MASS J1550+1455 b,,18434.14,30.0,,,,,,0.076,ExoplanetEU
